;_id;available;connected;estation;free;open;ticket;total;;
239;5c605be225541729b7d50972;11;1;244;9;1;1;20;;
240;5c605be225541729b7d50973;5;1;245;9;1;0;14;;
241;5c605be225541729b7d50974;0;1;246;20;1;0;30;;
242;5c605be225541729b7d50975;6;1;247;9;1;1;15;;
243;5c605be225541729b7d50976;13;1;248;7;1;0;20;;
244;5c605be225541729b7d50977;0;1;249;15;1;0;15;;
245;5c605be225541729b7d50978;12;1;250;3;1;0;15;;
246;5c605be225541729b7d50979;11;1;251;4;1;1;15;;
247;5c605be225541729b7d5097a;18;1;252;2;1;1;20;;
248;5c605be225541729b7d5097b;11;1;253;4;1;0;15;;
249;5c605be225541729b7d5097c;11;1;254;7;1;1;19;;
250;5c605be225541729b7d5097d;6;1;255;12;1;0;18;;
251;5c605be225541729b7d5097e;1;1;256;14;1;0;15;;
252;5c605be225541729b7d5097f;20;1;86;0;1;1;20;;
253;5c605be225541729b7d50980;14;1;258;0;1;1;15;;
254;5c605be225541729b7d50981;2;1;262;17;1;1;20;;
255;5c605be225541729b7d50982;10;1;263;8;1;0;18;;
256;5c605be225541729b7d50983;0;1;264;20;1;1;20;;
257;5c605be225541729b7d50984;0;1;266;18;1;1;18;;
258;5c605be225541729b7d50985;3;1;40;22;1;1;26;;
259;5c605be225541729b7d50986;3;1;70;14;1;0;17;;
260;5c605be225541729b7d50987;9;1;91;6;1;0;15;;
261;5c605be225541729b7d50988;32;1;93;5;1;1;38;;
262;5c605be225541729b7d50989;12;1;272;3;1;0;15;;
263;5c605be225541729b7d5098a;3;1;273;12;1;1;15;;
264;5c605be225541729b7d5098b;5;1;274;10;1;0;15;;
265;5c605be225541729b7d5098c;15;1;275;5;1;0;20;;
266;5c605be225541729b7d5098d;16;1;257;2;1;0;20;;
267;5c605be225541729b7d5098e;1;1;270;15;1;1;16;;
268;5c605be225541729b7d5098f;3;1;271;12;1;0;15;;
269;5c605be225541729b7d50990;9;1;259;11;1;1;20;;
270;5c605be225541729b7d50991;1;1;265;14;1;0;15;;
271;5c605be225541729b7d50992;6;1;267;10;1;0;16;;
272;5c605be225541729b7d50993;14;1;84;1;1;0;15;;
273;5c605be225541729b7d50994;4;1;260;16;1;0;20;;
274;5c605be225541729b7d50995;9;1;261;10;1;0;19;;
275;5c605be225541729b7d50996;0;1;268;10;1;1;10;;
