X;Y;name;number;address;open;available;free;total;ticket;updated_at
723950.022;4371689.7;215_CALLE_MUSICO_AYLLON_ESQ_CALLE_FRANCISCO_DOLZ;215;Músico Ayllón - Francisco Dolz;T;5;10;15;T;06/11/2018 13:04:02
723705.426;4372070.459;216_AVDA_DEL_CID_ESQ_CALLE_BURGOS;216;Av. del Cid - Burgos;T;0;17;17;F;06/11/2018 13:04:02
723259.895;4372187.155;217_CALLE_9_DE_OCTUBRE_ESQ_CALLE_PINTOR_STOLZ;217;Pintor Stolz - Nueve de Octubre;T;11;14;25;T;06/11/2018 13:04:02
723172.196;4372377.04399999976;245_9_DE_OCTUBRE_CIEZA;245;Nueve de Octubre - Cieza;T;1;13;14;F;06/11/2018 13:04:02
723099.271;4372044.99299999978;246_AVDA_TRES_CRUCES_ENTRADA_HOSPITAL_GENERAL;246;Tres Cruces - Hospital General;T;16;14;30;F;06/11/2018 13:04:02
723185.17;4371860.82799999975;247_AVDA_TRES_CRUCES_MUSICO_AYLLON;247;Tres Cruces - Músico Ayllón;T;12;3;15;T;06/11/2018 13:04:02
724192.082;4373451.012;172_AVENIDA_PIO_XII;172;Pío XII - Campanar;T;16;2;20;T;06/11/2018 13:04:02
726097.133;4370302.116;183_AVDA_AUSIAS_MARCH;183;Ausias March - Av. de la Plata;T;4;14;18;T;06/11/2018 13:04:02
728954.814;4371422.769;069_AVDA. DEL PUERTO;69;Av. Puerto - Serrería;T;3;22;25;F;06/11/2018 13:04:02
725892.931;4374188.571;134_C/ MAXIMILIANO THOUS;134;Maximiliano Thous - Luz Casanova;T;1;19;20;F;06/11/2018 13:04:02
725455.253;4373958.73099999968;135_AVDA. CONSTITUCIÓN;135;Constitución - Reus;T;6;13;20;T;06/11/2018 13:04:02
725319.726;4373672.6;153_C/ LLANO DE ZAIDA;153;Llano de la Zaidía - Doctor Olóriz;T;3;21;24;T;06/11/2018 13:04:02
729717.505;4372325.704;154_PESCADORES;154;Pescadores - Progreso;T;4;11;15;F;06/11/2018 13:04:02
726849.289;4371694.26;155_C/ SALAMANCA;155;Salamanca - Reina Doña Germana;T;3;17;20;F;06/11/2018 13:04:02
725720.691;4371218.14;156_C/ CUBA;156;Puerto Rico - Cuba;T;7;7;15;F;06/11/2018 13:04:02
724762.45;4371533.35699999984;157_AVENIDA_PEREZ_GALDOS;157;Pérez Galdós - Marqués de Zenete;T;3;17;20;T;06/11/2018 13:04:02
729885.844;4371977.616;158_DR.LLUNCH;158;Doctor Lluch - Virgen del Sufragio;T;8;7;15;F;06/11/2018 13:04:02
729293.988;4371599.114;159_FRANCISCO CUBELLS;159;Francisco Cubells - San José de la Vega;T;8;9;17;F;06/11/2018 13:04:02
728914.788;4372019.751;160_JOSE MARIA DE HARO;160;José María de Haro - Justo y Pastor;T;0;20;20;F;06/11/2018 13:04:02
729536.909;4372108.48199999984;161_MEDITERRANEO;161;Mediterráneo - Plaza Cruz de Cañamelar;T;0;15;15;T;06/11/2018 13:04:02
729717.409;4371628.87399999984;162_PZA. ARMADA ESPAÑOLA;162;Armada Española - Mariano Cuber;T;2;16;19;F;06/11/2018 13:04:02
730264.816;4371737.667;163_PASEO NEPTUNO;163;Paseo Neptuno 32-34;T;1;19;20;T;06/11/2018 13:04:02
730145.464;4372181.084;164_PAVIA 1;164;Pavía - Columbretes;T;5;12;17;F;06/11/2018 13:04:02
730141.246;4372508.598;165_PAVIA 2;165;Pavía - Espadán;T;6;14;20;T;06/11/2018 13:04:02
729769.995;4372713.116;166_PROGRESO;166;Don Vicente Guillot - Progreso;T;1;14;15;F;06/11/2018 13:04:02
730126.267;4372896.898;167_PAVIA 3;167;Pavía - Acequia de la Cadena;T;7;13;20;F;06/11/2018 13:04:02
729837.887;4373106.43;168_AVDA. MALVARROSA;168;Malvarrosa - Río Tajo;T;0;15;15;F;06/11/2018 13:04:02
730110.471;4373327.171;169_PAVIA 4;169;Pavía (Instituto Isabel de Villena);T;4;16;20;T;06/11/2018 13:04:02
730037.393;4373790.296;170_PAVIA 5;170;Isabel de Villena - Mendizábal;T;12;8;20;F;06/11/2018 13:04:02
724247.446;4371927.825;200_AVDA_DEL_CID;200;Av. del Cid - Julián Peña;T;1;14;15;F;06/11/2018 13:04:02
724195.618;4372367.93;201_AVDA_PEREZ_GALDOS;201;Perez Galdós - Nou Moles;T;11;9;20;F;06/11/2018 13:04:02
726990.707;4370461.433;45_AVDA. GRAL. URRUTIA;45;Hermanos Maristas - General Urrutia;T;2;13;15;F;06/11/2018 13:04:02
727249.221;4370656.763;46_AVDA. INSTITUTO OBRERO DE VALENCIA;46;Pintor Luis Arcas - Inst. Obrero Valenciano;T;9;11;20;F;06/11/2018 13:04:02
727535.862;4370776.603;47_AVDA. AUTOPISTA DEL SALER;47;Autopista del Saler - Puente Monteolivete;T;18;2;20;T;06/11/2018 13:04:02
730241.616;4371463.445;276_EDIFICIO_VELES_E_VENTS;276;Veles e Vents;T;3;17;20;T;06/11/2018 13:04:02
727284.71;4370135.43099999987;48_AVDA. ANTONIO FERRANDIS;48;Antonio Ferrandis - General Urrutia;T;0;17;20;F;06/11/2018 13:04:02
727401.736;4370381.00899999961;49_C/ RICARDO MUÑOZ SUAY;49;Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler);T;23;2;25;F;06/11/2018 13:04:02
727766.482;4370428.52599999961;50_AVDA. AUTOPISTA DEL SALER;50;Autopista del Saler - Antonio Ferrandis (C.C. El Saler);T;29;11;40;T;06/11/2018 13:04:02
